TIC                BP_RP       abs M
TIC 242921228  0.987868    4.08328
TIC 29669818   0.927501    4.76915
TIC 84725211   0.973626    3.30688
TIC 269941899  0.820232    4.71356
TIC 212346839  0.810076    4.35836
TIC 85821698   0.651296    3.67096
TIC 80275988   0.69757     4.21969
TIC 283161511  0.739929    4.08048
TIC 76501494   1.02163     4.53882
TIC 425283041  0.764574    4.37867
TIC 47056905   0.98835     4.75376
TIC 61078637   0.653113    3.20145
TIC 281783865  0.935849    4.304
TIC 301579330  0.823017    3.85349
TIC 219292777  0.624778    3.67983
TIC 41871932   0.868036    4.54
TIC 424391070  1.10441    -0.0700875
TIC 414963768  0.632687    2.93475
TIC 125528227  0.691075    4.0627
TIC 154998710  0.726621    3.60784
TIC 229596329  0.897079    3.21392
TIC 229774285  0.623771    3.50432
TIC 88114169   0.68163     4.19087
TIC 186817607  0.544217    3.28035
TIC 16990891   0.911347    4.45797
TIC 67197292   0.77812     4.82511
TIC 317335366  0.789795    4.74044
TIC 248353916  0.595906    3.22782
TIC 248957172  0.675117    2.57566
TIC 269530969  0.86697     4.8212
TIC 262840174  0.888991    4.83506
TIC 354527972  0.709382    2.87573
TIC 237300455  0.635467    2.06994
TIC 235999285  0.87888     4.46104
TIC 235997128  0.846206    4.81098
TIC 237306584  0.608141    3.15241
TIC 235983493  1.00514     2.31074
